coalesced reads, workgroups: 8, num_workers: 4, 0.15895688 seconds
coalesced reads, workgroups: 8, num_workers: 8, 0.09446624 seconds
coalesced reads, workgroups: 8, num_workers: 16, 0.05449312 seconds
coalesced reads, workgroups: 8, num_workers: 32, 0.02752128 seconds
coalesced reads, workgroups: 8, num_workers: 64, 0.01398152 seconds
coalesced reads, workgroups: 8, num_workers: 128, 0.00716592 seconds
coalesced reads, workgroups: 16, num_workers: 4, 0.09116224 seconds
coalesced reads, workgroups: 16, num_workers: 8, 0.05327176 seconds
coalesced reads, workgroups: 16, num_workers: 16, 0.02685536 seconds
coalesced reads, workgroups: 16, num_workers: 32, 0.01356072 seconds
coalesced reads, workgroups: 16, num_workers: 64, 0.00713056 seconds
coalesced reads, workgroups: 16, num_workers: 128, 0.00408592 seconds
coalesced reads, workgroups: 32, num_workers: 4, 0.05368072 seconds
coalesced reads, workgroups: 32, num_workers: 8, 0.0276688 seconds
coalesced reads, workgroups: 32, num_workers: 16, 0.013952 seconds
coalesced reads, workgroups: 32, num_workers: 32, 0.0071984 seconds
coalesced reads, workgroups: 32, num_workers: 64, 0.00409112 seconds
coalesced reads, workgroups: 32, num_workers: 128, 0.00351304 seconds
coalesced reads, workgroups: 64, num_workers: 4, 0.02708528 seconds
coalesced reads, workgroups: 64, num_workers: 8, 0.01395608 seconds
coalesced reads, workgroups: 64, num_workers: 16, 0.007136 seconds
coalesced reads, workgroups: 64, num_workers: 32, 0.00413312 seconds
coalesced reads, workgroups: 64, num_workers: 64, 0.00329616 seconds
coalesced reads, workgroups: 64, num_workers: 128, 0.00326704 seconds
coalesced reads, workgroups: 128, num_workers: 4, 0.02718944 seconds
coalesced reads, workgroups: 128, num_workers: 8, 0.0141044 seconds
coalesced reads, workgroups: 128, num_workers: 16, 0.00727712 seconds
coalesced reads, workgroups: 128, num_workers: 32, 0.0040504 seconds
coalesced reads, workgroups: 128, num_workers: 64, 0.00331768 seconds
coalesced reads, workgroups: 128, num_workers: 128, 0.00316304 seconds
coalesced reads, workgroups: 256, num_workers: 4, 0.02838392 seconds
coalesced reads, workgroups: 256, num_workers: 8, 0.0142284 seconds
coalesced reads, workgroups: 256, num_workers: 16, 0.00733648 seconds
coalesced reads, workgroups: 256, num_workers: 32, 0.0040524 seconds
coalesced reads, workgroups: 256, num_workers: 64, 0.0032536 seconds
coalesced reads, workgroups: 256, num_workers: 128, 0.00317048 seconds
coalesced reads, workgroups: 512, num_workers: 4, 0.02871936 seconds
coalesced reads, workgroups: 512, num_workers: 8, 0.01440816 seconds
coalesced reads, workgroups: 512, num_workers: 16, 0.00772872 seconds
coalesced reads, workgroups: 512, num_workers: 32, 0.00432824 seconds
coalesced reads, workgroups: 512, num_workers: 64, 0.00321256 seconds
coalesced reads, workgroups: 512, num_workers: 128, 0.00320032 seconds
blocked reads, workgroups: 8, num_workers: 4, 0.18871568 seconds
blocked reads, workgroups: 8, num_workers: 8, 0.09651504 seconds
blocked reads, workgroups: 8, num_workers: 16, 0.05294464 seconds
blocked reads, workgroups: 8, num_workers: 32, 0.025284 seconds
blocked reads, workgroups: 8, num_workers: 64, 0.01244576 seconds
blocked reads, workgroups: 8, num_workers: 128, 0.00875008 seconds
blocked reads, workgroups: 16, num_workers: 4, 0.10793112 seconds
blocked reads, workgroups: 16, num_workers: 8, 0.06889168 seconds
blocked reads, workgroups: 16, num_workers: 16, 0.04178152 seconds
blocked reads, workgroups: 16, num_workers: 32, 0.0179508 seconds
blocked reads, workgroups: 16, num_workers: 64, 0.012344 seconds
blocked reads, workgroups: 16, num_workers: 128, 0.03174904 seconds
blocked reads, workgroups: 32, num_workers: 4, 0.0625028 seconds
blocked reads, workgroups: 32, num_workers: 8, 0.03751328 seconds
blocked reads, workgroups: 32, num_workers: 16, 0.0203404 seconds
blocked reads, workgroups: 32, num_workers: 32, 0.01248976 seconds
blocked reads, workgroups: 32, num_workers: 64, 0.0322088 seconds
blocked reads, workgroups: 32, num_workers: 128, 0.07598152 seconds
blocked reads, workgroups: 64, num_workers: 4, 0.0344596 seconds
blocked reads, workgroups: 64, num_workers: 8, 0.01866488 seconds
blocked reads, workgroups: 64, num_workers: 16, 0.01246112 seconds
blocked reads, workgroups: 64, num_workers: 32, 0.0332296 seconds
blocked reads, workgroups: 64, num_workers: 64, 0.0799416 seconds
blocked reads, workgroups: 64, num_workers: 128, 0.08079288 seconds
blocked reads, workgroups: 128, num_workers: 4, 0.03448208 seconds
blocked reads, workgroups: 128, num_workers: 8, 0.01981064 seconds
blocked reads, workgroups: 128, num_workers: 16, 0.01336208 seconds
blocked reads, workgroups: 128, num_workers: 32, 0.03436896 seconds
blocked reads, workgroups: 128, num_workers: 64, 0.08290584 seconds
blocked reads, workgroups: 128, num_workers: 128, 0.06716448 seconds
blocked reads, workgroups: 256, num_workers: 4, 0.03447048 seconds
blocked reads, workgroups: 256, num_workers: 8, 0.01991312 seconds
blocked reads, workgroups: 256, num_workers: 16, 0.01241752 seconds
blocked reads, workgroups: 256, num_workers: 32, 0.03467448 seconds
blocked reads, workgroups: 256, num_workers: 64, 0.06882584 seconds
blocked reads, workgroups: 256, num_workers: 128, 0.04615288 seconds
blocked reads, workgroups: 512, num_workers: 4, 0.03002832 seconds
blocked reads, workgroups: 512, num_workers: 8, 0.02017728 seconds
blocked reads, workgroups: 512, num_workers: 16, 0.01344304 seconds
blocked reads, workgroups: 512, num_workers: 32, 0.03751952 seconds
blocked reads, workgroups: 512, num_workers: 64, 0.04565488 seconds
blocked reads, workgroups: 512, num_workers: 128, 0.0365916 seconds
